"departement","annee","nb_nouveaux_exploitants"
"17",2022,35
"17",2023,33
"17",2024,40
"18",2010,10
"18",2011,7
"18",2012,6
"18",2013,7
"18",2014,8
"18",2015,20
"18",2016,6
"18",2017,18
"18",2018,26
"18",2019,41
"18",2020,57
"18",2021,53
"18",2022,35
"18",2023,15
"18",2024,15
"19",2010,5
"19",2011,8
"19",2012,16
"19",2013,13
"19",2014,12
"19",2015,21
"19",2016,25
"19",2017,32
"19",2018,19
"19",2019,39
"19",2020,31
"19",2021,46
"19",2022,31
"19",2023,67
"19",2024,41
"20",2010,17
"20",2011,17
"20",2012,13
"20",2013,12
"20",2014,12
"20",2015,17
"20",2016,24
"20",2017,38
"20",2018,44
"20",2019,48
"20",2020,37
"20",2021,34
"20",2022,32
"20",2023,39
"20",2024,107
"21",2010,31
"21",2011,13
"21",2012,12
"21",2013,14
"21",2014,7
"21",2015,31
"21",2016,47
"21",2017,29
"21",2018,62
"21",2019,78
"21",2020,121
"21",2021,134
"21",2022,47
"21",2023,52
"21",2024,83
"22",2010,43
"22",2011,23
"22",2012,16
"22",2013,15
"22",2014,20
"22",2015,36
"22",2016,69
"22",2017,71
"22",2018,92
"22",2019,86
"22",2020,64
"22",2021,97
"22",2022,77
"22",2023,62
"22",2024,67
"23",2010,7
"23",2011,10
"23",2012,9
"23",2013,8
"23",2014,8
"23",2015,11
"23",2016,14
"23",2017,16
"23",2018,23
"23",2019,14
"23",2020,16
"23",2021,35
"23",2022,44
"23",2023,27
"23",2024,39
"24",2010,66
"24",2011,18
"24",2012,31
"24",2013,21
"24",2014,39
"24",2015,32
"24",2016,62
"24",2017,63
"24",2018,96
"24",2019,111
"24",2020,129
"24",2021,149
"24",2022,130
"24",2023,119
"24",2024,102
"25",2010,6
"25",2011,6
"25",2012,4
"25",2013,4
"25",2014,9
"25",2015,7
"25",2016,12
"25",2017,17
"25",2018,19
"25",2019,13
"25",2020,31
"25",2021,27
"25",2022,16
"25",2023,21
"25",2024,17
"26",2010,70
"26",2011,54
"26",2012,32
"26",2013,39
"26",2014,36
"26",2015,42
"26",2016,77
"26",2017,75
"26",2018,98
"26",2019,125
"26",2020,186
"26",2021,146
"26",2022,117
"26",2023,97
"26",2024,84
"27",2010,15
"27",2011,4
"27",2012,5
"27",2013,4
"27",2014,6
"27",2015,9
"27",2016,13
"27",2017,24
