"annee","code_departement","ID_culture","surfbio"
2008,"77",10,11.52
2008,"77",15,2.517
2008,"77",61,0.3
2008,"77",109,0.05
2008,"77",101,2.36
2008,"77",106,4.98
2008,"77",22,0.2
2008,"77",11,4.02
2008,"77",27,116.7
2008,"77",34,417.75
2008,"77",33,18.42
2008,"77",85,56.186
2008,"77",94,67.377
2008,"77",11,33.37
2008,"77",115,36.82
2008,"77",122,38.515
2008,"77",70,22.32
2008,"77",48,29.27
2008,"77",116,3
2008,"77",72,10.82
2008,"77",121,35.65
2008,"77",103,25.424
2008,"77",7,0.03
2008,"77",107,1
2008,"77",16,22.679
2008,"77",16,1.53
2008,"77",99,2.1
2008,"77",19,0.93
2008,"77",19,8.58
2008,"77",12,10.57
2008,"77",75,152.94
2008,"77",120,195.044
2008,"77",12,50.61
2008,"77",112,0.72
2008,"77",108,229.963
2008,"78",63,0.3
2008,"78",15,1.33
2008,"78",106,1.6
2008,"78",27,17.69
2008,"78",34,358.78
2008,"78",33,8.35
2008,"78",82,137.37
2008,"78",85,31.25
2008,"78",94,0.8
2008,"78",115,10
2008,"78",122,39.79
2008,"78",121,31.96
2008,"78",16,20.2
2008,"78",16,1.06
2008,"78",99,3.5
2008,"78",12,14.63
2008,"78",120,15.75
2008,"78",12,62.75
2008,"78",108,25.647
2008,"91",58,0.05
2008,"91",15,0.6
2008,"91",27,24.54
2008,"91",32,16
2008,"91",34,184.66
2008,"91",33,1.1
2008,"91",85,27.85
2008,"91",94,93.22
2008,"91",11,24.57
2008,"91",115,11.33
2008,"91",117,0.72
2008,"91",122,61.5
2008,"91",48,42.44
2008,"91",121,32.35
2008,"91",30,2.8
2008,"91",16,26.003
2008,"91",16,1.27
2008,"91",99,11.12
2008,"91",19,0.404
2008,"91",75,59.88
2008,"91",12,1.83
2008,"91",120,2.55
2008,"91",12,22.41
2008,"91",112,4.48
2008,"91",108,4.97
2008,"93",16,2.64
2008,"93",16,0.235
2008,"95",58,0.094
2008,"95",15,10.82
2008,"95",27,6.3
2008,"95",34,116.29
2008,"95",33,29.3
2008,"95",85,14.8
2008,"95",11,11.87
2008,"95",70,9.9
2008,"95",48,7.5
2008,"95",116,1
2008,"95",72,12
2008,"95",121,11.7
2008,"95",6,0.7
2008,"95",7,0.9
2008,"95",107,0.4
2008,"95",16,38.96
2008,"95",16,1.19
2008,"95",99,6.33
2008,"95",120,114.16
2008,"95",112,2.45
2008,"95",108,38.375
2008,"18",58,0.06
2008,"18",1,0.21
2008,"18",15,3.378
2008,"18",61,0.37
2008,"18",109,0.21
2008,"18",101,0.3
2008,"18",106,3.74
2008,"18",22,0.09
2008,"18",11,9.84
